name,more_weight_for_more_neighbor_0.6
,null
confidence ACC,0.49874999999999997
entropy ACC,0.4995833333333333
modified entropy ACC,0.4995833333333333
loss ACC,0.49874999999999997
confidence AUC,0.39448819444444444
entropy AUC,0.3244604166666667
modified entropy AUC,0.40415277777777775
modified entropy AUC,0.39448819444444444
grad_wrt_x_l1 ACC,0.49583333333333335
grad_wrt_x_l2 ACC,0.49624999999999997
grad_wrt_w_l1 ACC,0.495
grad_wrt_w_l2 ACC,0.4958333333333333
grad_wrt_x_l1 AUC,0.6903638888888888
grad_wrt_x_l2 AUC,0.6873701388888889
grad_wrt_w_l1 AUC,0.67955
grad_wrt_w_l2 AUC,0.6741236111111111
