name,neighbor_penalty
,null
confidence ACC,0.51
entropy ACC,0.5104166666666666
modified entropy ACC,0.5108333333333334
loss ACC,0.51
confidence AUC,0.7693819444444445
entropy AUC,0.7695631944444444
modified entropy AUC,0.76758125
modified entropy AUC,0.7693819444444445
grad_wrt_x_l1 ACC,0.5483333333333333
grad_wrt_x_l2 ACC,0.54375
grad_wrt_w_l1 ACC,0.5479166666666666
grad_wrt_w_l2 ACC,0.5416666666666666
grad_wrt_x_l1 AUC,0.6593687500000001
grad_wrt_x_l2 AUC,0.6558680555555555
grad_wrt_w_l1 AUC,0.6331163194444445
grad_wrt_w_l2 AUC,0.6362104166666667
