name,weighted_dataindex_s_0.1
,null
confidence ACC,0.49916666666666665
entropy ACC,0.49916666666666665
modified entropy ACC,0.49916666666666665
loss ACC,0.49916666666666665
confidence AUC,0.31239166666666673
entropy AUC,0.27375625
modified entropy AUC,0.31764027777777776
modified entropy AUC,0.31239166666666673
grad_wrt_x_l1 ACC,0.49083333333333334
grad_wrt_x_l2 ACC,0.49583333333333335
grad_wrt_w_l1 ACC,0.48875
grad_wrt_w_l2 ACC,0.49291666666666667
grad_wrt_x_l1 AUC,0.5548743055555556
grad_wrt_x_l2 AUC,0.5594611111111112
grad_wrt_w_l1 AUC,0.6065284722222222
grad_wrt_w_l2 AUC,0.5955159722222223
