name,weighted_datavalue_0.4
,null
confidence ACC,0.4970833333333333
entropy ACC,0.4970833333333333
modified entropy ACC,0.49625
loss ACC,0.4970833333333333
confidence AUC,0.24900104166666664
entropy AUC,0.17824756944444445
modified entropy AUC,0.25762986111111114
modified entropy AUC,0.2490013888888889
grad_wrt_x_l1 ACC,0.4820833333333333
grad_wrt_x_l2 ACC,0.485
grad_wrt_w_l1 ACC,0.48375
grad_wrt_w_l2 ACC,0.48625
grad_wrt_x_l1 AUC,0.7395263888888888
grad_wrt_x_l2 AUC,0.7405479166666666
grad_wrt_w_l1 AUC,0.7683631944444445
grad_wrt_w_l2 AUC,0.7487934027777778
