name,weighted_datavalue_0
,null
confidence ACC,0.4979166666666667
entropy ACC,0.4979166666666667
modified entropy ACC,0.4979166666666667
loss ACC,0.4979166666666667
confidence AUC,0.28263958333333333
entropy AUC,0.22604305555555554
modified entropy AUC,0.2899819444444445
modified entropy AUC,0.28263958333333333
grad_wrt_x_l1 ACC,0.48375
grad_wrt_x_l2 ACC,0.48583333333333334
grad_wrt_w_l1 ACC,0.48
grad_wrt_w_l2 ACC,0.4845833333333333
grad_wrt_x_l1 AUC,0.5981298611111112
grad_wrt_x_l2 AUC,0.6021722222222222
grad_wrt_w_l1 AUC,0.6365895833333334
grad_wrt_w_l2 AUC,0.6315812500000001
