name,weighted_datavalue_s_0.2
,null
confidence ACC,0.46291666666666664
entropy ACC,0.46416666666666667
modified entropy ACC,0.46125
loss ACC,0.46291666666666664
confidence AUC,0.21573680555555555
entropy AUC,0.1945927083333333
modified entropy AUC,0.22549375000000002
modified entropy AUC,0.21573680555555555
grad_wrt_x_l1 ACC,0.4479166666666667
grad_wrt_x_l2 ACC,0.4529166666666667
grad_wrt_w_l1 ACC,0.4458333333333333
grad_wrt_w_l2 ACC,0.45
grad_wrt_x_l1 AUC,0.6341340277777778
grad_wrt_x_l2 AUC,0.6350291666666666
grad_wrt_w_l1 AUC,0.6411659722222222
grad_wrt_w_l2 AUC,0.622629861111111
