name,all_defense_0
,null
confidence ACC,0.6570833333333334
entropy ACC,0.63625
modified entropy ACC,0.6545833333333333
loss ACC,0.6570833333333334
confidence AUC,0.7059045138888889
entropy AUC,0.6682638888888889
modified entropy AUC,0.7057739583333333
modified entropy AUC,0.7059045138888889
grad_wrt_x_l1 ACC,0.655
grad_wrt_x_l2 ACC,0.6487499999999999
grad_wrt_w_l1 ACC,0.6620833333333334
grad_wrt_w_l2 ACC,0.6625000000000001
grad_wrt_x_l1 AUC,0.7044444444444445
grad_wrt_x_l2 AUC,0.7043729166666667
grad_wrt_w_l1 AUC,0.7048409722222223
grad_wrt_w_l2 AUC,0.705161111111111
